annotation_id,image_id,image_file,image_height,image_width,category_id,category_name,bbox_x,bbox_y,bbox_width,bbox_height,area,iscrowd
0,0,3-2-1b_PNG.rf.097ded96057ba3ded0c92d916e13e9b3.jpg,689,813,31,pressure-switch-flow-switch-start-pump-line,371,300,49,34,1666,0
1,0,3-2-1b_PNG.rf.097ded96057ba3ded0c92d916e13e9b3.jpg,689,813,1,24V-power-cord,64,13,34,27,918,0
2,0,3-2-1b_PNG.rf.097ded96057ba3ded0c92d916e13e9b3.jpg,689,813,1,24V-power-cord,186,13,28,26,728,0
3,0,3-2-1b_PNG.rf.097ded96057ba3ded0c92d916e13e9b3.jpg,689,813,1,24V-power-cord,303,13,32,25,800,0
4,0,3-2-1b_PNG.rf.097ded96057ba3ded0c92d916e13e9b3.jpg,689,813,27,metal-modular-box,409,45,35,27,945,0
5,0,3-2-1b_PNG.rf.097ded96057ba3ded0c92d916e13e9b3.jpg,689,813,16,fire-fan-manual-control-line,137,480,56,32,1792,0
6,0,3-2-1b_PNG.rf.097ded96057ba3ded0c92d916e13e9b3.jpg,689,813,16,fire-fan-manual-control-line,266,466,75,46,3450,0
7,0,3-2-1b_PNG.rf.097ded96057ba3ded0c92d916e13e9b3.jpg,689,813,16,fire-fan-manual-control-line,418,484,52,27,1404,0
8,0,3-2-1b_PNG.rf.097ded96057ba3ded0c92d916e13e9b3.jpg,689,813,16,fire-fan-manual-control-line,554,467,55,43,2365,0
9,0,3-2-1b_PNG.rf.097ded96057ba3ded0c92d916e13e9b3.jpg,689,813,16,fire-fan-manual-control-line,684,570,29,52,1508,0
10,0,3-2-1b_PNG.rf.097ded96057ba3ded0c92d916e13e9b3.jpg,689,813,22,i-o-module,66,216,43,24,1032,0
11,0,3-2-1b_PNG.rf.097ded96057ba3ded0c92d916e13e9b3.jpg,689,813,23,input-module,232,216,34,27,918,0
12,0,3-2-1b_PNG.rf.097ded96057ba3ded0c92d916e13e9b3.jpg,689,813,23,input-module,269,216,34,26,884,0
13,0,3-2-1b_PNG.rf.097ded96057ba3ded0c92d916e13e9b3.jpg,689,813,41,water-flow-indicator,169,239,28,25,700,0
14,0,3-2-1b_PNG.rf.097ded96057ba3ded0c92d916e13e9b3.jpg,689,813,33,safety-signal-valve,199,239,28,24,672,0
15,0,3-2-1b_PNG.rf.097ded96057ba3ded0c92d916e13e9b3.jpg,689,813,22,i-o-module,62,391,41,24,984,0
16,0,3-2-1b_PNG.rf.097ded96057ba3ded0c92d916e13e9b3.jpg,689,813,8,dedicated-metal-module-box-for-fire-smoke-exhaust-fan,14,388,40,26,1040,0
17,0,3-2-1b_PNG.rf.097ded96057ba3ded0c92d916e13e9b3.jpg,689,813,26,manual-automatic-switching-device,13,450,41,22,902,0
18,0,3-2-1b_PNG.rf.097ded96057ba3ded0c92d916e13e9b3.jpg,689,813,28,normally-open-smoke-exhaust-valve-with-280-operation,71,416,51,29,1479,0
19,1,14-1-1a_PNG.rf.0425f7f3230624cb80de3f33771a7129.jpg,807,980,21,gun-type-infrared-camera-in-the-basement,713,250,97.78,38.89,3802.664,0
20,1,14-1-1a_PNG.rf.0425f7f3230624cb80de3f33771a7129.jpg,807,980,21,gun-type-infrared-camera-in-the-basement,724,460,75.56,46.67,3526.385,0
21,1,14-1-1a_PNG.rf.0425f7f3230624cb80de3f33771a7129.jpg,807,980,21,gun-type-infrared-camera-in-the-basement,710,672,93.33,45.56,4252.115,0
